stop_id,stop_code,stop_name,stop_lat,stop_lon,stop_url
2551,2478011-07205,"Rokitnica Pętla",50.3636759000,18.8016709600,"https://rj.transportgzm.pl/v2/rozklady/przystanek/2478011-07205/"
4594,2462011-07602,"Łagiewniki Krzyżowa",50.3275800600,18.9282035600,"https://rj.transportgzm.pl/v2/rozklady/przystanek/2462011-07602/"
11042,2408052-01302,"Gostyń Motyla",50.1064050000,18.8607440000,"https://rj.transportgzm.pl/v2/rozklady/przystanek/2408052-01302/"
2197,2469011-11101,"Kokociniec Ogrodowa",50.2344115500,18.9550363800,"https://rj.transportgzm.pl/v2/rozklady/przystanek/2469011-11101/"
11252,2469011-00801,"Katowice Piotra Skargi",50.2613198100,19.0199565600,"https://rj.transportgzm.pl/v2/rozklady/przystanek/2469011-00801/"
10576,2469011-40803,"Brynów W. Pola",50.2426876500,18.9823734500,"https://rj.transportgzm.pl/v2/rozklady/przystanek/2469011-40803/"
5387,2475011-18702,"Klimontów Ogródki Działkowe",50.2746640000,19.2022700000,"https://rj.transportgzm.pl/v2/rozklady/przystanek/2475011-18702/"
2374,2466011-16001,"Gliwice Radiostacja",50.3143358600,18.6930423900,"https://rj.transportgzm.pl/v2/rozklady/przystanek/2466011-16001/"
489,2401062-00702,"Dąbie Chrobakowe 30 nż",50.3954935500,19.1602796300,"https://rj.transportgzm.pl/v2/rozklady/przystanek/2401062-00702/"
11696,2478011-01502t,"Biskupice Ziemska nż",50.3278586000,18.8336017100,"https://rj.transportgzm.pl/v2/rozklady/przystanek/2478011-01502t/"
9108,2463011-06702,"Chorzów Szpital Miejski",50.2921740200,18.9448976300,"https://rj.transportgzm.pl/v2/rozklady/przystanek/2463011-06702/"
5550,2401031-04101,"Wojkowice Spokojna",50.3649030000,19.0257910000,"https://rj.transportgzm.pl/v2/rozklady/przystanek/2401031-04101/"
49,2413072-00302,"Świerklaniec Zajezdnia nż",50.4367428800,18.9471468900,"https://rj.transportgzm.pl/v2/rozklady/przystanek/2413072-00302/"
251,2469011-07401,"Bogucice Markiefki",50.2653316200,19.0414786100,"https://rj.transportgzm.pl/v2/rozklady/przystanek/2469011-07401/"
1042,2401011-04502,"Grodziec Kopalnia",50.3535522000,19.0747272700,"https://rj.transportgzm.pl/v2/rozklady/przystanek/2401011-04502/"
6346,2477011-08402,"Tychy Strefowa",50.0975962500,19.0310287200,"https://rj.transportgzm.pl/v2/rozklady/przystanek/2477011-08402/"
2445,2405032-02501,"Przyszowice Skrzyżowanie",50.2493660100,18.7439525100,"https://rj.transportgzm.pl/v2/rozklady/przystanek/2405032-02501/"
5826,2405074-02201,"Toszek",50.4539828200,18.5232514400,"https://rj.transportgzm.pl/v2/rozklady/przystanek/2405074-02201/"
455,2401021-00201,"Czeladź Cmentarz Komunalny",50.3381953100,19.0691712100,"https://rj.transportgzm.pl/v2/rozklady/przystanek/2401021-00201/"
7960,2413082-04002,"Połomia Leśniczówka nż",50.4727436100,18.7243939600,"https://rj.transportgzm.pl/v2/rozklady/przystanek/2413082-04002/"
10156,2469011-10902,"Katowice Mickiewicza Biurowce",50.2636929000,19.0124892900,"https://rj.transportgzm.pl/v2/rozklady/przystanek/2469011-10902/"
7093,2463011-10801,"Maciejkowice Granica",50.3358436700,18.9771163200,"https://rj.transportgzm.pl/v2/rozklady/przystanek/2463011-10801/"
6367,2477011-20001,"Wygorzele Rymarska",50.1312690000,19.0479410000,"https://rj.transportgzm.pl/v2/rozklady/przystanek/2477011-20001/"
11642,2462011-05002t,"Bytom Urząd Miejski",50.3507632700,18.9120995700,"https://rj.transportgzm.pl/v2/rozklady/przystanek/2462011-05002t/"
4878,2475011-12001,"Sosnowiec Aleja Zwycięstwa",50.2797276000,19.1304850300,"https://rj.transportgzm.pl/v2/rozklady/przystanek/2475011-12001/"
11676,2462011-11701t,"Stroszek Targowisko",50.3955144700,18.8790762200,"https://rj.transportgzm.pl/v2/rozklady/przystanek/2462011-11701t/"
3994,2414011-01909,"Bieruń Osiedle",50.0786426500,19.1715550200,"https://rj.transportgzm.pl/v2/rozklady/przystanek/2414011-01909/"
6532,2408021-07401,"Mokre Łączna",50.1851285200,18.8695812000,"https://rj.transportgzm.pl/v2/rozklady/przystanek/2408021-07401/"
3611,2466011-04301,"Gliwice Łużycka",50.2914173000,18.6720869600,"https://rj.transportgzm.pl/v2/rozklady/przystanek/2466011-04301/"
3135,2465011-14902,"Tucznawa Droga do Sikorki",50.3867553200,19.3048024100,"https://rj.transportgzm.pl/v2/rozklady/przystanek/2465011-14902/"
2413,2474011-04401,"Siemianowice Powstańców",50.2986262600,19.0402555200,"https://rj.transportgzm.pl/v2/rozklady/przystanek/2474011-04401/"
2695,2466011-13601,"Sośnica Michała",50.2894489300,18.7373006300,"https://rj.transportgzm.pl/v2/rozklady/przystanek/2466011-13601/"
3558,2462011-01214,"Bytom Dworzec",50.3440702100,18.9131617300,"https://rj.transportgzm.pl/v2/rozklady/przystanek/2462011-01214/"
2161,2475011-07601,"Ostrowy Górnicze Kolonia Leśna Sklep",50.2801458200,19.2707538300,"https://rj.transportgzm.pl/v2/rozklady/przystanek/2475011-07601/"
132,2463011-00801,"Chorzów Batory Dworzec PKP",50.2799127100,18.9428055000,"https://rj.transportgzm.pl/v2/rozklady/przystanek/2463011-00801/"
11623,2462011-01802t,"Bytom Jagiellońska",50.3443208200,18.9180755400,"https://rj.transportgzm.pl/v2/rozklady/przystanek/2462011-01802t/"
5718,2466011-20702,"Stare Łabędy Einsteina",50.3337439900,18.6046862300,"https://rj.transportgzm.pl/v2/rozklady/przystanek/2466011-20702/"
4911,2469011-25002,"Szopienice Osiedlowa",50.2647928400,19.1040658900,"https://rj.transportgzm.pl/v2/rozklady/przystanek/2469011-25002/"
164,2472011-00201,"Bielszowice Fińskie Domki",50.2648820000,18.8096666300,"https://rj.transportgzm.pl/v2/rozklady/przystanek/2472011-00201/"
1619,2463011-08401,"Maciejkowice Spółdzielnia",50.3224606500,18.9750027400,"https://rj.transportgzm.pl/v2/rozklady/przystanek/2463011-08401/"
101,2401011-00201,"Będzin Aleja Kołłątaja",50.3253512700,19.1350877000,"https://rj.transportgzm.pl/v2/rozklady/przystanek/2401011-00201/"
6392,2477011-22801,"Jaroszowice Samochodowa II",50.1107328600,19.0703499100,"https://rj.transportgzm.pl/v2/rozklady/przystanek/2477011-22801/"
8793,2469011-39702,"Ochojec Spółdzielczości",50.2098395600,18.9896046900,"https://rj.transportgzm.pl/v2/rozklady/przystanek/2469011-39702/"
4872,2466011-15401,"Stare Łabędy SSE",50.3245704100,18.6129045200,"https://rj.transportgzm.pl/v2/rozklady/przystanek/2466011-15401/"
5034,2401011-05102,"Grodziec Podgórna nż",50.3481097000,19.0940713600,"https://rj.transportgzm.pl/v2/rozklady/przystanek/2401011-05102/"
11580,2462011-12801t,"Szombierki Szyb Krystyna",50.3407151200,18.9083874000,"https://rj.transportgzm.pl/v2/rozklady/przystanek/2462011-12801t/"
3213,2470011-08903,"Wesoła Mostek",50.1971601900,19.1120758200,"https://rj.transportgzm.pl/v2/rozklady/przystanek/2470011-08903/"
3409,2475011-16701,"Zagórze Mec",50.2970499500,19.1845261800,"https://rj.transportgzm.pl/v2/rozklady/przystanek/2475011-16701/"
7904,GR73301,"granica MIAS - ŚWIE (Brynica)",50.4701201474,18.9884071390,"https://rj.transportgzm.pl/v2/rozklady/przystanek/GR73301/"
6027,2405064-00301,"Sośnicowice Gliwicka",50.2712500000,18.5329200000,"https://rj.transportgzm.pl/v2/rozklady/przystanek/2405064-00301/"
4716,2478011-08702t,"Zabrze Brysza",50.3031465800,18.7902843700,"https://rj.transportgzm.pl/v2/rozklady/przystanek/2478011-08702t/"
3095,2465011-20202,"Łosień Poboczna",50.3512540000,19.3369140000,"https://rj.transportgzm.pl/v2/rozklady/przystanek/2465011-20202/"
1214,2469011-06302,"Janów Zamkowa",50.2423609000,19.0889811500,"https://rj.transportgzm.pl/v2/rozklady/przystanek/2469011-06302/"
3503,2478011-09402t,"Zabrze Św. Floriana",50.3018722700,18.7932156600,"https://rj.transportgzm.pl/v2/rozklady/przystanek/2478011-09402t/"
6277,2477011-11402,"Tychy Filaretów",50.1160690700,19.0021574200,"https://rj.transportgzm.pl/v2/rozklady/przystanek/2477011-11402/"
6905,2475011-04701,"Milowice Park Logistyczny",50.2875155500,19.1021394500,"https://rj.transportgzm.pl/v2/rozklady/przystanek/2475011-04701/"
6255,2477011-13501,"Tychy Hala Sportowa",50.1071204800,18.9873087100,"https://rj.transportgzm.pl/v2/rozklady/przystanek/2477011-13501/"
5229,2465011-19902,"Antoniów Spacerowa",50.3723055000,19.2298507600,"https://rj.transportgzm.pl/v2/rozklady/przystanek/2465011-19902/"
2411,2474011-04501,"Siemianowice Powstańców Pętla",50.2969032900,19.0428519000,"https://rj.transportgzm.pl/v2/rozklady/przystanek/2474011-04501/"
6513,2408011-03001,"Łaziska Górne Cieszyńska",50.1381663900,18.8333114300,"https://rj.transportgzm.pl/v2/rozklady/przystanek/2408011-03001/"
11153,2475011-16402,"Zagórze Kosynierów nż",50.2976465100,19.2002820900,"https://rj.transportgzm.pl/v2/rozklady/przystanek/2475011-16402/"
3808,2478011-06801,"Rokitnica Boczna nż",50.3583439100,18.7963476400,"https://rj.transportgzm.pl/v2/rozklady/przystanek/2478011-06801/"
8575,2475011-03104,"Kazimierz Górniczy Poczta",50.2949979300,19.2437064400,"https://rj.transportgzm.pl/v2/rozklady/przystanek/2475011-03104/"
2358,2475011-08701,"Pogoń Kościół",50.2901227000,19.1328096700,"https://rj.transportgzm.pl/v2/rozklady/przystanek/2475011-08701/"
5370,2469011-32402,"Wełnowiec GPP BUSINESS PARK",50.2829265800,19.0278529900,"https://rj.transportgzm.pl/v2/rozklady/przystanek/2469011-32402/"
7957,2413092-00602,"Miedary Kopanina",50.4599694800,18.7615740000,"https://rj.transportgzm.pl/v2/rozklady/przystanek/2413092-00602/"
404,2413062-04502,"Celiny Autostrada",50.4491151100,19.0504801000,"https://rj.transportgzm.pl/v2/rozklady/przystanek/2413062-04502/"
3297,2472011-10701,"Wirek Odrodzenia",50.2713637400,18.8724479800,"https://rj.transportgzm.pl/v2/rozklady/przystanek/2472011-10701/"
10739,2408031-00902,"Orzesze Las",50.1340519600,18.7891578400,"https://rj.transportgzm.pl/v2/rozklady/przystanek/2408031-00902/"
3986,2469011-04701,"Giszowiec Kolista Pętla",50.2286904700,19.0600287700,"https://rj.transportgzm.pl/v2/rozklady/przystanek/2469011-04701/"
3127,2462011-02501,"Bytom Łużycka",50.3510264300,18.8941776700,"https://rj.transportgzm.pl/v2/rozklady/przystanek/2462011-02501/"
8412,2401062-06202,"Strzyżowice Stadion nż",50.3915880000,19.0743680000,"https://rj.transportgzm.pl/v2/rozklady/przystanek/2401062-06202/"
466,2466011-01601,"Czechowice Skrzyżowanie",50.3638207600,18.6393747400,"https://rj.transportgzm.pl/v2/rozklady/przystanek/2466011-01601/"
2649,2401042-03602,"Siemonia Kościuszki nż",50.4235304900,19.0464198500,"https://rj.transportgzm.pl/v2/rozklady/przystanek/2401042-03602/"
9099,2413082-02702,"Tworóg nż",50.5402785300,18.7086451400,"https://rj.transportgzm.pl/v2/rozklady/przystanek/2413082-02702/"
1575,2465011-08601,"Marianki Letnia nż",50.3538400000,19.1904330200,"https://rj.transportgzm.pl/v2/rozklady/przystanek/2465011-08601/"
5358,2465011-19801,"Kolonia Piekło Kostury",50.3687820000,19.2214670000,"https://rj.transportgzm.pl/v2/rozklady/przystanek/2465011-19801/"
458,2470011-07002,"Mysłowice Cmentarz",50.2376121900,19.1317510300,"https://rj.transportgzm.pl/v2/rozklady/przystanek/2470011-07002/"
5257,2401021-01902,"Czeladź Stare Miasto",50.3192529300,19.0704644000,"https://rj.transportgzm.pl/v2/rozklady/przystanek/2401021-01902/"
1085,2462011-06301,"Górniki Pętla",50.3923712300,18.7969636900,"https://rj.transportgzm.pl/v2/rozklady/przystanek/2462011-06301/"
7973,2463011-11101,"Chorzów Racławicka OPS",50.2804680600,18.9478480600,"https://rj.transportgzm.pl/v2/rozklady/przystanek/2463011-11101/"
2188,2469011-11002,"Kokociniec Kijowska",50.2364596100,18.9649343400,"https://rj.transportgzm.pl/v2/rozklady/przystanek/2469011-11002/"
4075,2465011-23602,"Gołonóg 11 Listopada",50.3294232100,19.2239500200,"https://rj.transportgzm.pl/v2/rozklady/przystanek/2465011-23602/"
5793,2413082-03301,"Świniowice Osiedle",50.5165689800,18.6513295100,"https://rj.transportgzm.pl/v2/rozklady/przystanek/2413082-03301/"
7101,2469011-38901,"Podlesie Tarninowa nż",50.1886251000,18.9613878500,"https://rj.transportgzm.pl/v2/rozklady/przystanek/2469011-38901/"
290,2469011-24002,"Brynów Orkana",50.2314772600,18.9884948700,"https://rj.transportgzm.pl/v2/rozklady/przystanek/2469011-24002/"
573,2475011-00502,"Dańdówka Dworzec PKP",50.2660540000,19.1746190000,"https://rj.transportgzm.pl/v2/rozklady/przystanek/2475011-00502/"
8515,2466011-23829,"Gliwice Centrum Przesiadkowe [tech]",50.3040264600,18.6753141600,"https://rj.transportgzm.pl/v2/rozklady/przystanek/2466011-23829/"
